leaflet_name,url,source
"Treating primary breast cancer, Punjabi",https://breastcancernow.org/download-and-order-publications/treating-primary-breast-cancer-punjabi-bcn251,Breast Cancer Now
"Treating primary breast cancer, Urdu",https://breastcancernow.org/download-and-order-publications/treating-primary-breast-cancer-urdu-bcn253,Breast Cancer Now
Triple negative breast cancer,https://breastcancernow.org/download-and-order-publications/triple-negative-breast-cancer-bcn248,Breast Cancer Now
Bcn401,https://breastcancernow.org/media-assets/bftivx4r/bcn401.pdf,Breast Cancer Now
Bcc20 Tamoxifen Web,https://breastcancernow.org/media-assets/kr3dxbrf/bcc20-tamoxifen-web.pdf,Breast Cancer Now
Bcn001 Tlc Infographic All Skintones Web,https://breastcancernow.org/media-assets/wsih5ize/bcn001-tlc-infographic-all-skintones-web.pdf,Breast Cancer Now
Bcn261 Tlc 2024 Infographic Men Web,https://breastcancernow.org/media-assets/0qdjkkpi/bcn261-tlc-2024-infographic-men-web.pdf,Breast Cancer Now
Bcn247 2024 Non Gendered Postcard Web,https://breastcancernow.org/media-assets/5olfxpfx/bcn247-2024-non-gendered-postcard-web.pdf,Breast Cancer Now
Bcc41 Trastuzumab 2023 Web Pdf,https://breastcancernow.org/media-assets/leagrv1d/bcc41-trastuzumab-2023-web-pdf.pdf,Breast Cancer Now
Bcc4 Treating Primary Breast Cancer Web Pdf,https://breastcancernow.org/media-assets/gifdlbvr/bcc4-treating-primary-breast-cancer-web-pdf.pdf,Breast Cancer Now
Bcn252 Bengali Treating Primary Breast Cancer Web Pdf,https://breastcancernow.org/media-assets/0uukpxrg/bcn252-bengali-treating-primary-breast-cancer-web-pdf.pdf,Breast Cancer Now
